,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
CAPZA2,6.22775998920952e-29,-0.386431571487166,0.282,0.325,2.14546331628268e-24
ZMAT2,9.88374939276094e-29,0.282744454356105,0.305,0.252,3.40495166580614e-24
POLR2F,2.34724718325177e-28,0.257803905328888,0.317,0.263,8.08626654630236e-24
TADA3,3.2252861878873e-28,0.260481019964187,0.309,0.256,1.11111109172717e-23
EZR,3.95492538916202e-28,-0.38076052288689,0.318,0.362,1.36247179656631e-23
NCOA7,3.99733595278546e-28,-0.416817640054921,0.208,0.25,1.37708223573459e-23
SLC38A2,7.14471111946659e-28,-0.267940817799348,0.288,0.336,2.46135298065624e-23
VAMP5,9.40327251949852e-28,0.250602030773829,0.331,0.279,3.23942738296724e-23
NSD3,1.00042940281442e-27,-0.392365464759662,0.323,0.364,3.44647929269569e-23
RNF126,1.16749185475507e-27,0.273823791639089,0.317,0.267,4.0220094396312e-23
ATP1B3,1.23288739389034e-27,-0.301060936294213,0.321,0.366,4.24729707195222e-23
CRBN,1.25532825287033e-27,-0.275600913267226,0.321,0.366,4.3246058311383e-23
PSMA2,1.68127234535152e-27,-0.257285842725628,0.471,0.508,5.79198322973598e-23
BOD1L1,4.01758948264812e-27,-0.299805994487469,0.207,0.252,1.38405957677228e-22
DDX3X,5.56324419221312e-27,0.291944055175208,0.427,0.383,1.91653762421742e-22
TRGC1,6.04732233834625e-27,0.585281126752801,0.416,0.372,2.08330254556028e-22
VDAC3,9.14942225806872e-27,-0.312752303327157,0.29,0.331,3.15197596790467e-22
CYTOR,1.0059273380082e-26,-0.314569180317914,0.32,0.362,3.46541967943823e-22
TCP1,1.12575529266388e-26,0.290070056660634,0.261,0.213,3.87822698322707e-22
UBXN4,3.52862161503629e-26,-0.276953682048169,0.363,0.406,1.21561014638e-21
AC245297.3,4.03305863433947e-26,0.272969380858663,0.446,0.402,1.38938869952995e-21
PSMG2,1.48658860003895e-25,-0.353094955993725,0.227,0.266,5.12129772713418e-21
TPR,1.66284596618329e-25,0.25353221876469,0.379,0.334,5.72850435350145e-21
MRPL20,2.20435554710766e-25,-0.282180027862967,0.369,0.41,7.59400485978589e-21
SYNCRIP,2.52281600822002e-25,-0.431462112774473,0.217,0.257,8.69110114831796e-21
CD44,3.08829348811284e-25,-0.43168038228504,0.432,0.462,1.06391710665487e-20
IFITM3,4.87105912251022e-25,0.500841550983329,0.259,0.219,1.67807986770477e-20
RER1,7.57209594795834e-25,-0.288661851956709,0.311,0.353,2.60858705407165e-20
ADSS,2.41431789383172e-24,-0.341806454999101,0.212,0.251,8.31732514425027e-20
TAF1D,2.65489231165174e-24,0.257051631835531,0.332,0.288,9.14610401364026e-20
XRN2,1.74288984449306e-23,-0.311048565266063,0.279,0.32,6.00425551427859e-19
SERPINB6,2.14108581527265e-23,-0.27365584968612,0.278,0.319,7.37604063361429e-19
CREBRF,4.55468922538493e-23,-0.38318214038296,0.291,0.33,1.56909043814511e-18
ASCL2,5.59830712590872e-23,0.286868897538548,0.28,0.236,1.92861680487555e-18
RPS27L,9.16981191573818e-23,-0.266453729750995,0.491,0.524,3.1590002049718e-18
DEF6,2.48703320553136e-22,0.259486882619179,0.283,0.241,8.56782939305554e-18
MIB2,2.8740711403844e-22,0.313425980500639,0.281,0.238,9.90117507862426e-18
ARPP19,4.8474287207205e-22,-0.360324553359126,0.227,0.263,1.66993919428821e-17
KTN1,6.26539045730859e-22,-0.267450335339631,0.365,0.402,2.15842701254281e-17
EIF3J,6.56802018358729e-22,0.284359735726976,0.267,0.227,2.26268295324582e-17
MOB1A,9.37341160426036e-22,-0.27953284940858,0.383,0.423,3.2291402976677e-17
CYTIP,1.13281485044607e-21,-0.254032385351129,0.469,0.5,3.9025471597867e-17
SEM1,4.10258922812548e-21,-0.251742441510561,0.418,0.448,1.41334198908923e-16
RSBN1L,4.18593662725063e-21,-0.270592551021102,0.33,0.364,1.44205516808784e-16
TRAC,4.97871134992935e-21,0.42629809518137,0.283,0.243,1.71516606005066e-16
SELENOS,8.81808287590067e-21,0.268461700833231,0.286,0.243,3.03782955074778e-16
SLTM,1.41722914164455e-20,-0.252366275624528,0.369,0.408,4.88235439296547e-16
SH3GLB1,1.47136741890176e-20,-0.298504269457423,0.32,0.355,5.06886075811656e-16
NDUFC1,2.33275790148426e-20,-0.426434594098086,0.229,0.26,8.03635097061328e-16
KIF5B,2.38664405135155e-20,-0.269940543831761,0.273,0.31,8.22198875690608e-16
RAB9A,5.57281554773459e-20,-0.303274481277936,0.251,0.284,1.91983495619456e-15
UFM1,8.14324327451372e-19,-0.32315269573396,0.224,0.259,2.80534730806998e-14
HDDC2,8.31147405942133e-19,-0.284241017029519,0.356,0.388,2.86330281347065e-14
TXNL1,1.70002151871368e-18,-0.328112890738752,0.233,0.265,5.85657413196863e-14
H1FX,1.85096865078319e-18,-0.311531695472523,0.256,0.292,6.3765870019481e-14
HSH2D,2.33360241457766e-18,0.263075527547657,0.291,0.253,8.03926031822005e-14
VPS4B,2.82629543006206e-18,-0.2599141929644,0.282,0.316,9.73658775656381e-14
