,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
RSRP1,5.19387927930547e-132,-0.316498409226846,0.659,0.675,1.78929141172073e-127
ARPC5L,5.81352017790114e-132,0.410171784908108,0.368,0.276,2.00275770128694e-127
VAPA,1.39558122564573e-131,-0.495393862775047,0.497,0.537,4.80777732234954e-127
LMAN2,3.32233207609808e-131,0.297448606245603,0.415,0.311,1.14454340021579e-126
DARS,3.34874695144307e-131,-0.874959567113681,0.232,0.297,1.15364332477214e-126
RNH1,5.56458616056137e-131,0.340115444258577,0.364,0.266,1.91699993231339e-126
STAT1,6.01330203293916e-131,-0.768321522549817,0.309,0.378,2.07158255034754e-126
TADA3,6.57597528222554e-131,0.480891888895048,0.254,0.172,2.2654234847267e-126
ISCA1,8.7417996371548e-131,-0.729496605204409,0.204,0.275,3.01154997499983e-126
BAX,6.48058964969204e-130,0.261438224908773,0.396,0.294,2.23256313431891e-125
SREK1,7.11496829116457e-130,-0.694723053522838,0.243,0.314,2.45110657630619e-125
YTHDC1,1.00526646296053e-129,-0.611672814837292,0.379,0.439,3.46314296489904e-125
FBXO3,1.02832004518694e-129,-0.80604082880833,0.183,0.251,3.54256255566902e-125
LSM1,8.2202903648389e-129,0.413020030829499,0.262,0.178,2.831890030687e-124
SDHC,1.19238647852666e-128,0.254039083626886,0.299,0.204,4.10777141852433e-124
HNRNPL,3.86550801655329e-128,-0.720993744506678,0.221,0.29,1.33166751170261e-123
PSMD13,2.96414559051133e-127,0.353667214556709,0.315,0.224,1.02114815593115e-122
YWHAE,6.20871716937606e-127,-0.693227164571474,0.281,0.348,2.13890306485005e-122
PRRC2C,1.11948966659556e-126,-0.340659024281155,0.689,0.708,3.85664190142172e-122
VBP1,5.10523976190992e-126,0.411465883789487,0.265,0.18,1.75875509797797e-121
DNAJC19,6.07967267099445e-126,0.335350371102365,0.351,0.256,2.09444723515759e-121
LSM10,8.29153896922534e-126,0.445381253131822,0.259,0.177,2.85643517489813e-121
TMEM256,3.64135109380554e-125,0.322340474489405,0.347,0.253,1.25444545181601e-120
TEX264,4.89182143883531e-125,0.423505810485452,0.285,0.199,1.68523248567876e-120
G3BP1,2.77984103429888e-124,-0.717294718837496,0.292,0.355,9.57655236315966e-120
RPL7L1,3.10859346357681e-124,0.379323038908984,0.27,0.185,1.07091044820221e-119
MMP24OS,3.20818169103326e-124,-0.819291686482487,0.184,0.25,1.10521859256096e-119
KCNAB2,3.41110590321211e-124,-0.768027895379398,0.195,0.264,1.17512598365657e-119
STUB1,1.92710848751691e-123,0.396263660597789,0.332,0.243,6.63888873949575e-119
BUD31,4.66823921475445e-123,0.385329263181016,0.34,0.25,1.60820840948291e-118
VPS36,5.87318046716165e-123,-0.737457199311172,0.235,0.301,2.02331067093719e-118
SHOC2,1.59130154046454e-121,-0.884424138186285,0.234,0.295,5.48203380690035e-117
RALY,2.1343156677493e-121,-0.574847927007513,0.401,0.452,7.35271747539632e-117
CDK11A,4.6252232827768e-121,-0.7117846847983,0.209,0.278,1.59338942091661e-116
XRN2,4.71788702713204e-121,-0.60205379131266,0.36,0.42,1.62531208084699e-116
RAB27A,5.72801367563986e-121,-0.883281588785513,0.239,0.3,1.97330071125793e-116
UBXN4,5.90303205476327e-120,-0.50325274631638,0.455,0.502,2.03359454286595e-115
