,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
NUTF2,1.91079654824902e-86,0.45077191569535,0.269,0.198,6.58269410871788e-82
ARL5A,4.85654250828208e-86,-0.448008487038573,0.208,0.274,1.67307889410318e-81
POLR2C,5.46616919203974e-86,0.504501048429371,0.251,0.184,1.88309528665769e-81
PSMA4,5.6113728699163e-86,0.359554724054959,0.401,0.325,1.93311795368617e-81
NDUFC2,6.68093840749351e-86,0.272573330090772,0.499,0.416,2.30158328138151e-81
CNOT7,6.87197607424323e-86,0.404942135567068,0.348,0.275,2.36739575757679e-81
DPM3,1.28843381657288e-85,0.441079187641917,0.252,0.182,4.43865449809357e-81
SYF2,2.06575269994512e-85,0.289411075666456,0.586,0.522,7.11651805131094e-81
GRK6,5.80022379219993e-85,0.453191502973057,0.294,0.224,1.99817709641288e-80
TMEM14B,6.77451189187882e-85,-0.366949074194453,0.449,0.507,2.33381934675225e-80
GTF2I,6.80866100844521e-85,-0.486019702690884,0.278,0.339,2.34558371740938e-80
TRAPPC2L,1.11919049076214e-84,0.514559793619628,0.25,0.184,3.85561124067556e-80
SLC2A3,4.39308442477518e-84,-0.595334424958731,0.261,0.32,1.51341758433505e-79
KCNAB2,4.88402754341765e-84,-0.545905118316076,0.195,0.256,1.68254748870738e-79
COX19,1.43134241694075e-83,-0.478929353255606,0.212,0.273,4.93097462636088e-79
TWF2,5.1233652908617e-83,0.389459223118155,0.327,0.253,1.76499934270185e-78
LSM3,5.46387522812966e-83,0.354564899709227,0.417,0.343,1.88230501609067e-78
ARF6,8.03489767861026e-83,0.328997190993939,0.458,0.387,2.76802225028123e-78
EVI2A,1.74199836467139e-82,0.385587333923382,0.323,0.25,6.00118436629293e-78
AIP,1.80797945172855e-82,0.341467371050132,0.392,0.315,6.22848921120486e-78
LRPAP1,2.02570227702494e-82,0.417909903758043,0.317,0.245,6.97854434435092e-78
GIMAP2,7.05422297602235e-82,0.35015291576917,0.38,0.305,2.4301798152397e-77
LDLRAP1,1.98101461116244e-81,0.479840613844746,0.294,0.227,6.82459533545461e-77
LAMTOR2,3.42858443590575e-81,0.433922049452837,0.292,0.223,1.18114733816953e-76
TCEA1,3.82547793306981e-81,0.288573682514574,0.512,0.445,1.31787714794255e-76
PHB,6.25648067844881e-81,0.40277125542298,0.325,0.252,2.15535759372562e-76
FAM102A,7.95205039977258e-81,-0.471798445125123,0.24,0.301,2.73948136272165e-76
CD27,8.93593631802109e-81,0.383876592475181,0.497,0.449,3.07843006155827e-76
SUPT20H,1.23249364967592e-80,-0.53440836458072,0.198,0.257,4.24594062313356e-76
PHF11,5.26948324956181e-80,-0.404804594574456,0.279,0.342,1.81533697947404e-75
RAB27A,1.22414485282548e-79,-0.595328602760164,0.239,0.297,4.21717901798377e-75
NMRK1,3.31755986616152e-79,-0.471197776209673,0.215,0.275,1.14289937389264e-74
DCTN3,3.40331210048545e-79,0.382223015117498,0.36,0.289,1.17244101861724e-74
DR1,7.38432009720199e-79,0.428055835016944,0.261,0.195,2.54389827348609e-74
STMP1,1.61274459379645e-78,0.372109404648829,0.362,0.292,5.55590512562876e-74
SAMD3,2.98968328517657e-78,-0.664411010935924,0.401,0.443,1.02994589174333e-73
PSMB8-AS1,3.26273595867348e-78,0.358315832673753,0.347,0.273,1.12401253776301e-73
TRAPPC6A,4.27496810783209e-78,0.410209011268278,0.323,0.255,1.47272651314815e-73
HSPA9,5.36734122681462e-78,-0.42887093455072,0.306,0.366,1.84904905263764e-73
FDPS,1.1203177175638e-77,0.428094824494262,0.277,0.209,3.85949453700729e-73
UBA2,2.17638107108683e-77,-0.476825102349972,0.296,0.353,7.49763278989415e-73
CMPK1,3.13839135630075e-77,0.288385447402665,0.525,0.458,1.08117582224561e-72
XPC,1.55304557589985e-76,-0.429893878773315,0.228,0.29,5.350242008975e-72
YPEL5,1.93145861632239e-76,-0.40029857306129,0.375,0.433,6.65387493323063e-72
SF1,4.95383232468296e-76,-0.251970556375775,0.708,0.739,1.70659523585328e-71
PCF11,7.32628692474813e-76,-0.381218079616535,0.309,0.372,2.52390584557573e-71
TMEM123,1.76116507799054e-75,0.262902229185417,0.639,0.591,6.06721369367741e-71
MESD,3.87064193105476e-75,0.40355141123603,0.278,0.211,1.33343614524837e-70
TRAT1,6.33122819966726e-75,-0.350784530994542,0.353,0.418,2.18110811478537e-70
NAE1,8.56696651811157e-75,-0.440926222413751,0.245,0.304,2.95131996548944e-70
ECHDC1,2.56162393457311e-74,-0.542249381382664,0.203,0.256,8.82479445460438e-70
LAMP1,7.28957584697108e-74,0.386161207102146,0.385,0.319,2.51125887928154e-69
