,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
TMEM14B,5.76074476207627e-12,-0.330626545337938,0.348,0.393,1.98457657053528e-07
CD180,6.39244943639293e-12,-0.462775391264674,0.225,0.271,2.20219883083736e-07
BTK,8.04614158041893e-12,0.305133813132328,0.383,0.316,2.77189577445432e-07
LYSMD2,8.25837919759951e-12,-0.421775433454099,0.24,0.284,2.84501163357303e-07
ZNF24,1.04084424074199e-11,0.351836667666028,0.263,0.205,3.58570840935617e-07
SLTM,1.33264104304398e-11,-0.291743178083501,0.341,0.39,4.5909483932865e-07
PRMT1,1.9151934417112e-11,0.290564882085077,0.31,0.245,6.59784140669508e-07
PGLS,1.9708595985712e-11,0.390056629928418,0.269,0.211,6.78961131707777e-07
BIN2,2.15572721068346e-11,0.310759706362041,0.296,0.232,7.42648024080452e-07
PPP4C,2.30419067894759e-11,0.275279362826094,0.266,0.204,7.93793688897444e-07
LYL1,2.42650199664722e-11,-0.361166872774165,0.244,0.29,8.35929937844966e-07
PHF11,2.64691311974135e-11,-0.402671833280034,0.226,0.272,9.11861569750894e-07
C19orf53,2.90903504756662e-11,0.27849699636209,0.485,0.418,1.0021625738867e-06
KHDRBS1,3.9286245430842e-11,-0.307290955114323,0.305,0.353,1.35341115509251e-06
TBCB,5.43973401589712e-11,0.344181736916926,0.25,0.194,1.87398836847656e-06
HNRNPF,5.48967030221589e-11,-0.283579281203437,0.427,0.47,1.89119141911337e-06
DARS,6.61266665712852e-11,-0.437010478151718,0.239,0.284,2.27806366338078e-06
PDCD2,6.79043417318768e-11,0.312680476468293,0.255,0.197,2.33930457266316e-06
TSPAN13,7.47625757822328e-11,0.250659922216913,0.498,0.435,2.57557073569792e-06
CD99,7.59124108530228e-11,0.300851907224973,0.324,0.261,2.61518255388664e-06
CRIP1,8.4518949430195e-11,-0.477388782696548,0.24,0.287,2.91167780787022e-06
S100A10,1.01767901122574e-10,0.321867257555329,0.309,0.251,3.50590419367267e-06
CARD8,1.08050972285114e-10,-0.366683264607494,0.209,0.255,3.72235599522218e-06
ACP1,1.21201768643934e-10,0.319787683464008,0.336,0.275,4.17540092978351e-06
TGFB1,1.45678784432857e-10,-0.376751085626768,0.226,0.272,5.01863412371192e-06
ANXA11,1.5108215524214e-10,0.306588693415533,0.341,0.282,5.20478024809174e-06
PABPN1,1.61524283945679e-10,0.365473327629802,0.261,0.206,5.56451158192863e-06
VAPA,1.65047941533982e-10,-0.310546254979074,0.416,0.448,5.68590158584568e-06
SEM1,1.72629436743067e-10,-0.295980381837374,0.291,0.335,5.94708409579866e-06
FNBP4,1.75560613289722e-10,-0.313690425934937,0.359,0.4,6.04806312783091e-06
ZCCHC10,1.90683422483266e-10,-0.40613200999795,0.211,0.254,6.56904390454851e-06
ASAH1,2.27957824675593e-10,0.359587786411311,0.283,0.228,7.85314706007417e-06
DDX18,2.30955146449296e-10,0.259509889554215,0.399,0.332,7.95640479517823e-06
ATG12,2.34488744217803e-10,0.325532379134452,0.264,0.209,8.07813723830331e-06
SEC11A,2.58399073876827e-10,-0.300417502009814,0.357,0.398,8.9018480950567e-06
DENR,2.64475416831214e-10,0.335479478610892,0.292,0.236,9.11117810983532e-06
KTN1,2.91376595956432e-10,-0.313005316241864,0.378,0.42,1.00379237306991e-05
DNAJB6,2.98173125671274e-10,-0.343870244723266,0.245,0.292,1.02720641793754e-05
LSM6,3.25535673126391e-10,-0.417549679577141,0.238,0.275,1.12147039392042e-05
ORMDL1,3.69240403054579e-10,-0.290123030531449,0.358,0.402,1.27203318852303e-05
LRRFIP1,7.22878526152139e-10,-0.254424166798276,0.456,0.494,2.49031652259412e-05
NCKAP1L,7.33132483928968e-10,-0.34801837131612,0.252,0.295,2.52564140713529e-05
LSM2,9.663219019666e-10,0.275049381361645,0.311,0.252,3.32897895227494e-05
HNRNPU,1.20426592905536e-09,0.269872129938002,0.608,0.564,4.14869612559572e-05
CD24,1.42086076063195e-09,0.265574953286998,0.426,0.367,4.89486532037707e-05
TTC1,2.14603202863215e-09,-0.371548197096891,0.228,0.268,7.39308033863774e-05
AMD1,2.51743536139222e-09,0.286347410969563,0.332,0.278,8.67256481999619e-05
SCP2,2.95699717147248e-09,0.254846052363882,0.292,0.236,0.000101868552557227
MRPL33,3.00981618693886e-09,0.29707221204706,0.291,0.236,0.000103688167640044
SELENOK,4.26944423134499e-09,0.332470138704516,0.329,0.275,0.000147082353769835
BCAS4,4.61585714348838e-09,-0.385999025274739,0.256,0.296,0.000159016278593175
PSMA4,4.99517970639394e-09,0.280501772134088,0.321,0.264,0.000172083940885271
EWSR1,5.55187995524854e-09,0.331483309164394,0.266,0.217,0.000191262264458312
KPNB1,5.9504285625477e-09,0.277909943482235,0.318,0.265,0.000204992263979768
ARF5,6.91843865487409e-09,0.273485058614742,0.271,0.215,0.000238340211660413
TSPYL1,6.9985733006916e-09,0.336828105411188,0.274,0.226,0.000241100850208826
MRPL51,7.20627954967522e-09,-0.356573800813398,0.237,0.274,0.000248256330486311
METTL9,1.03542995897138e-08,0.283069236254364,0.28,0.229,0.00035670562086564
ADAR,1.99775141715137e-08,0.267835089463761,0.281,0.23,0.000688225363208648
