,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
ARMC8,5.0615910422423e-48,-1.38565264537152,0.136,0.269,1.74371811405247e-43
HLA-DMA,5.43193719392508e-48,0.442369719908553,0.87,0.768,1.87130236330719e-43
HIST2H2AC,5.54730577833351e-48,-1.49458896783058,0.126,0.254,1.91104684063589e-43
ELP2,6.42652184464935e-48,-1.20399965874464,0.197,0.34,2.2139367754817e-43
TMOD3,6.45103292118107e-48,-1.14609690251858,0.214,0.355,2.22238084134688e-43
TCERG1,6.60322902512645e-48,-1.25344857271074,0.167,0.306,2.27481239915606e-43
EIF4A1,6.63634241563721e-48,-0.666909386727455,0.462,0.591,2.28621996218702e-43
VMP1,6.81971829353452e-48,-1.27236536358246,0.191,0.33,2.34939295212264e-43
BSG,1.09643711006656e-47,0.920363372736023,0.391,0.217,3.77722584417929e-43
NDUFV2,1.16965229289663e-47,-0.744350410625546,0.44,0.569,4.02945214902888e-43
STX12,1.28187573458827e-47,-1.40086458636462,0.147,0.28,4.4160619056566e-43
ANKRD36,1.34806982666136e-47,-1.36918096998695,0.118,0.25,4.64410055284837e-43
CD44,1.40613552580288e-47,-0.983031216789967,0.622,0.663,4.84413688639092e-43
ZNF91,1.48667741643346e-47,-1.29360701054272,0.157,0.293,5.12160369961328e-43
PTPN6,1.85324072828769e-47,0.549913093874084,0.719,0.579,6.3844143089511e-43
KPNA6,2.44503063089605e-47,-1.35455651905533,0.13,0.263,8.4231305234369e-43
SERINC1,2.75204724001487e-47,-1.19189516167895,0.201,0.339,9.48080274185121e-43
STK17B,4.05262308652758e-47,-0.641702098000791,0.661,0.728,1.39612865330875e-42
ZNF33A,4.34423936513406e-47,-1.12016073449416,0.221,0.363,1.49659046128868e-42
SAMSN1,5.6473734061688e-47,-1.17699290244747,0.197,0.337,1.94552013842515e-42
UBE2L6,5.86225145165806e-47,0.988710628882039,0.327,0.161,2.0195456250962e-42
RAB31,6.16809664266384e-47,-1.33394970816451,0.155,0.292,2.12490929339769e-42
TM9SF2,7.38001018686415e-47,-1.05646373758882,0.248,0.388,2.5424135093747e-42
NT5DC1,9.0380879482859e-47,-1.14907215764077,0.225,0.363,3.11362129818449e-42
CEP95,1.03904142387928e-46,-1.34987932025388,0.124,0.255,3.57949770526412e-42
GALNT1,1.36291866688518e-46,-1.34435912787586,0.143,0.275,4.69525480741944e-42
ARHGAP30,1.47498203704551e-46,0.824235826098891,0.424,0.245,5.08131311762178e-42
PNPLA8,1.59365433476285e-46,-1.04997619979576,0.278,0.415,5.49013918325801e-42
EMC10,1.74553102401697e-46,1.09880615780375,0.284,0.132,6.01335437773847e-42
CLEC2D,1.76765501147177e-46,-0.961724435611415,0.421,0.551,6.08957151452024e-42
ANAPC16,2.08381933038084e-46,0.393548223996564,0.86,0.743,7.17875759316198e-42
ZNF451,2.20110970383408e-46,-1.21326205749337,0.184,0.323,7.58282292970841e-42
CDC37,2.54179383640553e-46,0.815702578651089,0.453,0.276,8.75647976641704e-42
HMGN1,3.51273148461838e-46,0.430881571008819,0.838,0.725,1.21013599645103e-41
RAF1,3.91062191323963e-46,-1.26120877052448,0.16,0.298,1.34720924911105e-41
IQGAP1,4.60141296157444e-46,-0.655669883713531,0.563,0.658,1.58518676526239e-41
CYC1,5.22300629376039e-46,1.01494896688252,0.33,0.168,1.79932566820045e-41
EHD1,5.25677684646275e-46,1.05531200987929,0.344,0.184,1.81095962360642e-41
HLA-DRB1,5.66670049245783e-46,0.276286612050262,0.993,0.981,1.95217831965172e-41
USP48,8.45629881912333e-46,-1.0733507564763,0.236,0.376,2.91319494318799e-41
PPP1R18,8.94039889557262e-46,0.772814649971002,0.417,0.238,3.07996741952477e-41
URI1,1.04742030233727e-45,-1.04485561834027,0.243,0.384,3.6083629415519e-41
SS18,1.3920176866941e-45,-1.28913600128009,0.145,0.277,4.79550093066116e-41
SKAP2,1.55952336483438e-45,-0.840303931801685,0.427,0.551,5.37255799185445e-41
ALG13,1.89435574115298e-45,-1.08460999223863,0.219,0.36,6.52605552827201e-41
TUT7,2.38081262899537e-45,-1.14517588770571,0.193,0.332,8.20189950688906e-41
RNF138,2.54642263038982e-45,-1.3196338973735,0.18,0.314,8.77242596169295e-41
RAB11B,2.78611931807789e-45,1.08024088354434,0.282,0.131,9.59818105077834e-41
WSB1,2.81302947978078e-45,-0.734025728793832,0.488,0.601,9.69088655784477e-41
EIF3G,3.80278535393222e-45,0.505254518961464,0.743,0.589,1.31005955442965e-40
STX7,4.14671636265186e-45,-0.702773799505989,0.549,0.66,1.42854378693357e-40
YWHAZ,4.71159988656844e-45,-0.556913729641907,0.84,0.85,1.62314616092283e-40
STAT3,5.51063382420037e-45,-1.04713142313807,0.268,0.405,1.89841335243703e-40
UBR4,6.03365545883618e-45,-1.30890805796101,0.132,0.263,2.07859430556906e-40
EIF3H,6.34386589324373e-45,0.402804719240149,0.857,0.75,2.18546180022247e-40
RASA3,8.44966142452612e-45,-1.38226891711401,0.138,0.266,2.91090836074925e-40
APRT,9.89664043933276e-45,0.482665339859213,0.766,0.613,3.40939263135013e-40
SERPINB9,1.03423694474124e-44,-1.40274247540754,0.126,0.252,3.56294627463358e-40
EVI2B,1.07944541182554e-44,0.404453515960681,0.883,0.798,3.718689443739e-40
CLINT1,1.48771084736254e-44,-1.07906489498527,0.254,0.387,5.12516386916394e-40
KPNA5,1.76820280843686e-44,-1.22616445498356,0.131,0.261,6.091458675065e-40
PPWD1,1.89663420015663e-44,-1.24992736902295,0.137,0.267,6.53390481953958e-40
PLEKHA2,2.07194381672432e-44,-1.14035537961519,0.257,0.392,7.13784644861528e-40
ZNF506,2.84472002339849e-44,-1.21506813817462,0.17,0.304,9.8000604806078e-40
SLAMF6,3.4563343926469e-44,-1.39798366399386,0.175,0.302,1.19070719826686e-39
MARCKSL1,3.469368838133e-44,0.857234829330962,0.373,0.206,1.19519756473682e-39
UQCRQ,4.01908880471543e-44,0.676644173305377,0.521,0.342,1.38457609322447e-39
CYB561A3,4.92597283288008e-44,0.642311889397558,0.574,0.4,1.69699764092719e-39
FBXO21,1.10935466022613e-43,-1.27639065089632,0.131,0.259,3.82172680447902e-39
NCOR1,1.56922665968287e-43,-0.68856687626149,0.518,0.611,5.40598584260749e-39
COPA,1.69120116751023e-43,-1.13606385403979,0.189,0.324,5.82618802207274e-39
RAB7A,1.89590812038151e-43,-1.01986149132752,0.392,0.498,6.53140347471429e-39
YAF2,1.98541579778549e-43,-1.32853254995815,0.173,0.304,6.83975742337101e-39
KMT2E,2.09931783522422e-43,-0.613102747690512,0.665,0.712,7.23214994234745e-39
WBP2,2.41406682267927e-43,0.956894607716848,0.321,0.164,8.31646020413007e-39
USP14,2.82255018428055e-43,-1.2558584660294,0.144,0.273,9.72368538484651e-39
GTF2F2,3.58625418225148e-43,-1.21248884497473,0.178,0.31,1.23546456578563e-38
KRAS,3.81007232424465e-43,-1.17061597158081,0.25,0.379,1.31256991570228e-38
HLA-DMB,4.76999494617125e-43,0.526344401671804,0.759,0.621,1.64326325895599e-38
NBPF14,5.13733774963769e-43,1.27589322763084,0.275,0.136,1.76981285475018e-38
CYP20A1,5.23035727541876e-43,-1.24557308796579,0.139,0.267,1.80185808138176e-38
ARF1,7.13836522175511e-43,0.554088266058158,0.645,0.465,2.45916681889464e-38
ROCK1,9.69777025934213e-43,-0.80758285835531,0.47,0.566,3.34088185434336e-38
PPP4R3A,1.30841149026207e-42,-1.02323774593178,0.257,0.391,4.50747758395283e-38
SNHG8,1.40594202816673e-42,0.531888036779842,0.719,0.57,4.84347028703438e-38
BTBD1,1.54701410753001e-42,-1.33680564293463,0.133,0.257,5.32946360044087e-38
SMAD2,1.56030219135575e-42,-1.24123751037848,0.147,0.274,5.37524104922057e-38
SSR2,4.1219259768416e-42,0.409580839714989,0.786,0.646,1.42000349902193e-37
ITGB2,4.30188912709189e-42,0.834761855987446,0.429,0.262,1.48200080428316e-37
TAF15,6.37683422076533e-42,-0.885218501736078,0.302,0.438,2.19681938905366e-37
SLC25A36,8.1062631093298e-42,-1.10779386008511,0.189,0.321,2.79260764116412e-37
MBD2,9.85203430222099e-42,-0.999158875768958,0.214,0.353,3.39402581711513e-37
SYTL1,1.37249200989609e-41,0.808460543081099,0.409,0.245,4.72823497409204e-37
KLF6,1.61512621588656e-41,0.313785400354948,0.831,0.642,5.56410981372921e-37
VASP,1.68856708451393e-41,0.602046215323546,0.572,0.406,5.8171136061505e-37
TP53INP1,2.02260850048025e-41,-1.36495778989114,0.146,0.268,6.96788628415446e-37
SOD1,3.29944262954598e-41,0.442550573498107,0.756,0.601,1.13665798587859e-36
P2RY10,3.3904738802104e-41,-0.857157467352195,0.316,0.443,1.16801825173248e-36
TMUB1,3.49139722092797e-41,1.06065290089608,0.278,0.133,1.20278634260969e-36
